MRTime,IMSI,SRNCID,BestCellID,SRNTI,RAB,Delay,UE_TXPower,LCS_BIT,Longitude,Latitude,RNCID_1,CellID_1,EcNo_1,RSCP_1,RTT_1,UE_Rx_Tx_1,RNCID_2,CellID_2,EcNo_2,RSCP_2,RTT_2,UE_Rx_Tx_2,RNCID_3,CellID_3,EcNo_3,RSCP_3,RTT_3,UE_Rx_Tx_3,RNCID_4,CellID_4,EcNo_4,RSCP_4,RTT_4,UE_Rx_Tx_4,RNCID_5,CellID_5,EcNo_5,RSCP_5,RTT_5,UE_Rx_Tx_5,RNCID_6,CellID_6,EcNo_6,RSCP_6,RTT_6,UE_Rx_Tx_6
1900-00-01 15:08:54.810,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4946683,31.2171375,6290,49714,-5,-60,-999,-999,6301,58001,-5,-79,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:08:58.660,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4945216,31.21713417,6290,49714,-5,-56,-999,-999,6301,58001,-5,-74,-999,-999,6311,50131,-5,-78,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:02.820,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4943889,31.21715451,6290,49714,-5,-54,-999,-999,6301,58001,-5,-75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:03.760,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4943327,31.21716164,6290,49714,-5,-59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:04.760,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4942966,31.21716333,6290,49714,-5,-60,-999,-999,6290,49681,-5,-79,-999,-999,6275,45186,-5,-80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:06.220,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4942536,31.21716333,6290,49714,-5,-59,-999,-999,6301,58001,-5,-75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:07.710,1234567890,6290,49714,-999,-999,-999,-999,-999,121.494178,31.21716333,6290,49714,-5,-56,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:09.330,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4941167,31.21716333,6290,49714,-5,-57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:10.830,1234567890,6290,49714,-999,-999,-999,-999,-999,121.494067,31.21716333,6290,49714,-5,-59,-999,-999,6301,58001,-5,-78,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:12.220,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4940133,31.217165,6290,49714,-5,-58,-999,-999,6291,61633,-5,-74,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:13.650,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4939716,31.2171625,6290,49714,-5,-57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:15.110,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4939317,31.21716,6290,49714,-5,-56,-999,-999,6301,58001,-5,-75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:17.020,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4938783,31.21717,6290,49714,-5,-59,-999,-999,6275,45186,-5,-78,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:18.460,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4938493,31.21717995,6290,49714,-5,-61,-999,-999,6301,58001,-5,-76,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:19.890,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4938383,31.21718751,6290,49714,-5,-61,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:21.800,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4938301,31.21720139,6290,49714,-5,-59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:23.360,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4938317,31.2172,6290,49714,-5,-63,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:24.750,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4938283,31.21720254,6290,49714,-5,-59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:26.600,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4938117,31.21721167,6290,49714,-5,-63,-999,-999,6311,50131,-5,-77,-999,-999,6301,58002,-5,-78,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:28.050,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4937867,31.21721167,6290,49714,-5,-62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:29.500,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4937692,31.21720833,6290,49714,-5,-61,-999,-999,6299,64321,-5,-72,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:31.170,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4937588,31.21720833,6290,49714,-5,-60,-999,-999,6275,45186,-5,-73,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:32.480,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4937534,31.21720667,6290,49714,-5,-62,-999,-999,6311,50131,-5,-77,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:34.290,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4937517,31.21720667,6290,49714,-5,-59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:35.730,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4937388,31.21721114,6290,49714,-5,-60,-999,-999,6155,57939,-5,-61,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:37.180,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4937117,31.21721833,6290,49714,-5,-57,-999,-999,6155,57939,-5,-72,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:38.610,1234567890,6290,49714,-999,-999,-999,-999,-999,121.493685,31.2172175,6290,49714,-5,-57,-999,-999,6155,57939,-5,-71,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:40.520,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4936449,31.21723227,6290,49714,-5,-57,-999,-999,6155,57939,-5,-62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:41.980,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4936383,31.217235,6290,49714,-5,-57,-999,-999,6155,57939,-5,-60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:43.720,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4936367,31.21723667,6290,49714,-5,-57,-999,-999,6155,57939,-5,-64,-999,-999,6301,58193,-5,-66,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:45.340,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4936367,31.21723667,6290,49714,-5,-56,-999,-999,6155,57939,-5,-62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:46.840,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4936367,31.21723667,6290,49714,-5,-59,-999,-999,6153,60017,-5,-57,-999,-999,6155,57939,-5,-60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:48.350,1234567890,6290,49714,-999,-999,-999,-999,-999,121.493635,31.21723833,6290,49714,-5,-57,-999,-999,6155,57939,-5,-65,-999,-999,6153,60017,-5,-65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:50.130,1234567890,6290,49714,-999,-999,-999,-999,-999,121.493635,31.21723833,6290,49714,-5,-61,-999,-999,6155,57939,-5,-65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:51.580,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4936333,31.21723833,6290,49714,-5,-54,-999,-999,6301,58193,-5,-66,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:52.810,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4936333,31.21724,6290,49714,-5,-56,-999,-999,6155,57939,-5,-65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:54.450,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4936317,31.21724,6290,49714,-5,-55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:55.900,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4936317,31.21724114,6290,49714,-5,-55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:57.510,1234567890,6290,49714,-999,-999,-999,-999,-999,121.49363,31.21724167,6290,49714,-5,-57,-999,-999,6155,57939,-5,-70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:09:58.860,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4936292,31.21724167,6290,49714,-5,-57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1900-00-01 15:10:00.220,1234567890,6290,49714,-999,-999,-999,-999,-999,121.4936283,31.21724333,6290,49714,-5,-56,-999,-999,6155,57939,-5,-70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
